trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-02|Bus|Wollongong and surrounds|17|200|100
2020-01-02|Bus|All - NSW|17|49400|50300
2020-01-02|Bus|Chatswood|18|400|300
2020-01-02|Bus|Macquarie Park|18|600|400
2020-01-02|Bus|Newcastle and surrounds|18|<50|<50
2020-01-02|Bus|North Sydney|18|400|200
2020-01-02|Bus|Other|18|24400|34000
2020-01-02|Bus|Parramatta|18|1400|1000
2020-01-02|Bus|Strathfield|18|400|300
2020-01-02|Bus|Sydney CBD|18|6200|3300
2020-01-02|Bus|Wollongong and surrounds|18|100|100
2020-01-02|Bus|All - NSW|18|33900|39600
2020-01-02|Bus|Chatswood|19|300|200
2020-01-02|Bus|Macquarie Park|19|300|200
2020-01-02|Bus|Newcastle and surrounds|19|<50|<50
2020-01-02|Bus|North Sydney|19|200|100
2020-01-02|Bus|Other|19|15500|20300
2020-01-02|Bus|Parramatta|19|1000|600
2020-01-02|Bus|Strathfield|19|200|200
2020-01-02|Bus|Sydney CBD|19|3800|2200
2020-01-02|Bus|Wollongong and surrounds|19|100|100
2020-01-02|Bus|All - NSW|19|21400|23900
2020-01-02|Bus|Chatswood|20|200|100
2020-01-02|Bus|Macquarie Park|20|200|200
2020-01-02|Bus|Newcastle and surrounds|20|<50|<50
2020-01-02|Bus|North Sydney|20|100|100
2020-01-02|Bus|Other|20|11100|13900
2020-01-02|Bus|Parramatta|20|800|400
2020-01-02|Bus|Strathfield|20|200|200
2020-01-02|Bus|Sydney CBD|20|3100|1600
2020-01-02|Bus|Wollongong and surrounds|20|100|<50
2020-01-02|Bus|All - NSW|20|15800|16500
2020-01-02|Bus|Chatswood|21|200|100
